	token	label	distance
1233	hedda	32	0.1600286066532135
1801	rhoder	32	0.1600286066532135
1380	jesus	32	0.1600286066532135
1379	jesses	32	0.1600286066532135
1234	hedi	32	0.1600286066532135
1840	sabines	32	0.1600286066532135
1235	hedis	32	0.1600286066532135
1991	stefans	32	0.1600286066532135
1990	stefan	32	0.1600286066532135
1736	paula	32	0.1600286066532135
1540	lissis	32	0.1600286066532135
2206	weißen	32	0.1600286066532135
1548	lutz	32	0.1600286066532135
1677	nero	32	0.1600286066532135
1549	lutzin	32	0.1600286066532135
2156	vronis	32	0.1600286066532135
1839	sabine	32	0.1600286066532135
1561	magda	32	0.1600286066532135
2155	vroni	32	0.1600286066532135
1737	pauls	32	0.1600286066532135
2273	yves	32	0.1600286066532135
1569	malli	32	0.1600286066532135
1978	stablampe	32	0.1600286066532135
1147	geli	32	0.1600286066532135
1148	gelis	32	0.1600286066532135
1923	selb	32	0.1600286066532135
795	bella	32	0.1600286066532135
305	Jacques	32	0.1600286066532135
796	bellos	32	0.1600286066532135
1008	elfies	32	0.1600286066532135
1386	jonah	32	0.1600286066532135
1438	kinn	32	0.1600286066532135
1439	kira	32	0.1600286066532135
1122	gabi	32	0.1600286066532135
1448	kirschen	32	0.1600286066532135
1449	kirsten	32	0.1600286066532135
984	duvall	32	0.1600286066532135
2209	wendy	32	0.1600286066532135
2210	wendys	32	0.1600286066532135
1425	katrins	32	0.1600286066532135
1424	katis	32	0.1600286066532135
953	di	32	0.1600286066532135
1423	kathrins	32	0.1600286066532135
1007	elfi	32	0.1600286066532135
1422	kathis	32	0.1600286066532135
1419	kassian	32	0.1600286066532135
1412	kardinal	32	0.1600286066532135
1404	kamin	32	0.1600286066532135
701	amelie	32	0.1600286066532135
702	amelies	32	0.1600286066532135
1403	kakao	32	0.1600286066532135
1690	nicoles	32	0.1600286066532135
1402	kajetan	32	0.1600286066532135
1689	nicole	32	0.1600286066532135
1688	nicky	32	0.1600286066532135
1687	nickis	32	0.1600286066532135
1387	jordan	32	0.1600286066532135
1421	kathie	32	0.1600286066532135
1815	rosa	32	0.1600286066532135
1356	irene	32	0.1600286066532135
1820	rosi	32	0.1600286066532135
1163	gero	32	0.1600286066532135
1613	michaels	32	0.1600286066532135
1612	michaelas	32	0.1600286066532135
1611	michael	32	0.1600286066532135
2082	ulli	32	0.1600286066532135
1603	melanies	32	0.1600286066532135
2081	ulla	32	0.1600286066532135
1602	melanie	32	0.1600286066532135
2079	udo	32	0.1600286066532135
1590	mattis	32	0.1600286066532135
1589	mattern	32	0.1600286066532135
1587	mathild	32	0.1600286066532135
1431	kilian	32	0.1600286066532135
65	Bello	4	0.22084707021713257
1746	pferde	4	0.22084707021713257
1480	kälber	4	0.22084707021713257
658	abenden	4	0.22084707021713257
1209	gästen	4	0.22084707021713257
2297	zwiebelturm	4	0.22084707021713257
2226	wildern	4	0.22084707021713257
1604	melken	4	0.22084707021713257
997	eiern	4	0.22084707021713257
2296	zwiebeln	4	0.22084707021713257
1413	karen	4	0.22084707021713257
633	Welpe	4	0.22084707021713257
406	Löwe	4	0.22084707021713257
2042	tiere	4	0.22084707021713257
295	Hündin	4	0.22084707021713257
1644	mosern	4	0.22084707021713257
294	Hund	4	0.22084707021713257
1929	semmeln	4	0.22084707021713257
2284	ziegen	4	0.22084707021713257
1115	fuchsen	4	0.22084707021713257
1928	semmel	4	0.22084707021713257
453	Neufundländer	4	0.22084707021713257
1326	hunden	4	0.22084707021713257
371	Kuh	4	0.22084707021713257
1633	molke	4	0.22084707021713257
617	Vieh	4	0.22084707021713257
1681	neufundländerrüde	4	0.22084707021713257
1426	katzen	4	0.22084707021713257
2050	tischen	4	0.22084707021713257
1747	pferden	4	0.22084707021713257
1340	hühnerstall	4	0.22084707021713257
1293	hirten	4	0.22084707021713257
1334	höfen	4	0.22084707021713257
1339	hühner	4	0.22084707021713257
719	annas	14	0.31763485074043274
1378	jessas	14	0.31763485074043274
1722	onkels	14	0.31763485074043274
1732	paolas	14	0.31763485074043274
1389	julians	14	0.31763485074043274
1610	mias	14	0.31763485074043274
1527	lianes	14	0.31763485074043274
1225	hansis	14	0.31763485074043274
1476	kunos	14	0.31763485074043274
1373	jannes	14	0.31763485074043274
1377	jens	14	0.31763485074043274
1538	linas	14	0.31763485074043274
1222	hannas	14	0.31763485074043274
967	dorfes	14	0.31763485074043274
1305	hofes	14	0.31763485074043274
2108	vaters	14	0.31763485074043274
1751	pias	14	0.31763485074043274
1692	nils	14	0.31763485074043274
768	barbaras	14	0.31763485074043274
1281	hildas	14	0.31763485074043274
2102	urs	14	0.31763485074043274
2044	tillys	14	0.31763485074043274
1224	hans	14	0.31763485074043274
1062	fannys	14	0.31763485074043274
1550	luzias	14	0.31763485074043274
2018	susannes	14	0.31763485074043274
665	adrians	14	0.31763485074043274
1512	lederhose	27	0.4119883179664612
317	Joppe	27	0.4119883179664612
1513	lederhosen	27	0.4119883179664612
517	Schürze	27	0.4119883179664612
1894	schuhe	27	0.4119883179664612
304	Jacke	27	0.4119883179664612
108	Bluse	27	0.4119883179664612
2177	wanderjacke	27	0.4119883179664612
356	Kniebundhose	27	0.4119883179664612
551	Strickjacke	27	0.4119883179664612
1254	hemd	27	0.4119883179664612
2025	tannenhof	45	0.44424664974212646
672	ahringerhof	45	0.44424664974212646
226	Gruberhof	45	0.44424664974212646
1871	schirmerhof	45	0.44424664974212646
74	Berghofer	45	0.44424664974212646
757	austragshäusl	45	0.44424664974212646
449	Mühlenhof	45	0.44424664974212646
1792	reitinghof	45	0.44424664974212646
1791	reiterhof	45	0.44424664974212646
2159	wagnerhof	45	0.44424664974212646
1333	häusl	45	0.44424664974212646
1302	hof	45	0.44424664974212646
1519	leitnerhof	45	0.44424664974212646
56	Bauernhof	45	0.44424664974212646
73	Berghof	45	0.44424664974212646
457	Nonnenhof	45	0.44424664974212646
1874	schlehenhof	45	0.44424664974212646
640	Wirtschaftshof	45	0.44424664974212646
281	Hof	45	0.44424664974212646
1284	hin	41	0.4558851420879364
2045	timen	41	0.4558851420879364
913	carsten	41	0.4558851420879364
1255	her	41	0.4558851420879364
911	carmen	41	0.4558851420879364
1127	garmisch	41	0.4558851420879364
668	agnes	41	0.4558851420879364
2086	unger	41	0.4558851420879364
1450	kissen	41	0.4558851420879364
1154	gemsen	41	0.4558851420879364
1271	herwart	41	0.4558851420879364
1827	ruben	41	0.4558851420879364
1269	hertha	41	0.4558851420879364
820	bernd	41	0.4558851420879364
1130	gasen	41	0.4558851420879364
1382	jochen	41	0.4558851420879364
923	clemens	41	0.4558851420879364
1852	sander	41	0.4558851420879364
866	brigittes	41	0.4558851420879364
1618	mieder	41	0.4558851420879364
2039	thorsten	41	0.4558851420879364
1383	jochens	41	0.4558851420879364
1999	sterr	41	0.4558851420879364
798	bender	41	0.4558851420879364
2181	wangen	41	0.4558851420879364
824	bertel	41	0.4558851420879364
821	bernds	41	0.4558851420879364
712	angerer	41	0.4558851420879364
548	Stern	41	0.4558851420879364
2120	verlieben	23	0.46785250306129456
608	Verlobungsring	23	0.46785250306129456
