	token	label	distance
2275	gillyr	2	0.03927032649517059
4330	usber	2	0.03927032649517059
4033	sumbarn	2	0.03927032649517059
1805	emraddin	2	0.03927032649517059
4034	sumbü	2	0.03927032649517059
2947	legend	2	0.03927032649517059
4051	system	2	0.03927032649517059
1742	ego	2	0.03927032649517059
1735	echoen	2	0.03927032649517059
4052	systeme	2	0.03927032649517059
1724	durst	2	0.03927032649517059
4053	systems	2	0.03927032649517059
1052	adrenalin	2	0.03927032649517059
1053	agara	2	0.03927032649517059
3619	rhuf	2	0.03927032649517059
1054	agaras	2	0.03927032649517059
1055	agartha	2	0.03927032649517059
1056	agarthas	2	0.03927032649517059
2932	lawine	2	0.03927032649517059
1057	agarther	2	0.03927032649517059
4332	uster	2	0.03927032649517059
4334	vamanu	2	0.03927032649517059
3959	stardust	2	0.03927032649517059
1965	faiks	2	0.03927032649517059
1964	faik	2	0.03927032649517059
3666	roulawan	2	0.03927032649517059
3979	stele	2	0.03927032649517059
2813	koy	2	0.03927032649517059
1938	espinosa	2	0.03927032649517059
2866	kym	2	0.03927032649517059
4002	stormock	2	0.03927032649517059
2890	laeel	2	0.03927032649517059
4016	strom	2	0.03927032649517059
2895	laisha	2	0.03927032649517059
4343	venus	2	0.03927032649517059
2914	laser	2	0.03927032649517059
4336	vasac	2	0.03927032649517059
1832	enopacs	2	0.03927032649517059
4335	vamanus	2	0.03927032649517059
1831	enopac	2	0.03927032649517059
1062	aghym	2	0.03927032649517059
1063	aghyms	2	0.03927032649517059
3008	lollop	2	0.03927032649517059
3082	matrosen	2	0.03927032649517059
1578	damfyr	2	0.03927032649517059
1575	daila	2	0.03927032649517059
1568	cyrsic	2	0.03927032649517059
3101	medium	2	0.03927032649517059
1567	cymbals	2	0.03927032649517059
1566	cymbal	2	0.03927032649517059
1562	cuarto	2	0.03927032649517059
1555	cranitzel	2	0.03927032649517059
1554	crallion	2	0.03927032649517059
1553	cozumel	2	0.03927032649517059
1147	antigrav	2	0.03927032649517059
1148	antigravscheibe	2	0.03927032649517059
1550	corloque	2	0.03927032649517059
3120	meotan	2	0.03927032649517059
3123	merlon	2	0.03927032649517059
1541	cockpitfenster	2	0.03927032649517059
1600	dawa	2	0.03927032649517059
1608	decaree	2	0.03927032649517059
3592	reevus	2	0.03927032649517059
3593	refugio	2	0.03927032649517059
3009	lollops	2	0.03927032649517059
4071	tand	2	0.03927032649517059
1079	alarm	2	0.03927032649517059
3012	loomis	2	0.03927032649517059
1679	dorinth	2	0.03927032649517059
1674	domain	2	0.03927032649517059
4080	tarravin	2	0.03927032649517059
3019	luk	2	0.03927032649517059
3958	stardolinis	2	0.03927032649517059
3020	luken	2	0.03927032649517059
1645	deteks	2	0.03927032649517059
1644	detek	2	0.03927032649517059
1630	deringhouse	2	0.03927032649517059
3040	machete	2	0.03927032649517059
3043	madeira	2	0.03927032649517059
3044	madeiras	2	0.03927032649517059
1610	deccons	2	0.03927032649517059
1609	deccon	2	0.03927032649517059
3021	lungarette	2	0.03927032649517059
4293	unsulid	2	0.03927032649517059
1999	fender	2	0.03927032649517059
2023	figan	2	0.03927032649517059
3844	shargator	2	0.03927032649517059
2301	gobi	2	0.03927032649517059
2296	glut	2	0.03927032649517059
3847	shuttle	2	0.03927032649517059
3848	shuttles	2	0.03927032649517059
2269	ghetto	2	0.03927032649517059
3731	schemen	2	0.03927032649517059
3863	signal	2	0.03927032649517059
3864	signale	2	0.03927032649517059
3869	silhouette	2	0.03927032649517059
3870	simmer	2	0.03927032649517059
2633	jacobs	2	0.03927032649517059
3871	simmian	2	0.03927032649517059
3879	siska	2	0.03927032649517059
2658	jokin	2	0.03927032649517059
3880	siskas	2	0.03927032649517059
2659	jokus	2	0.03927032649517059
2577	inner	2	0.03927032649517059
2661	jorge	2	0.03927032649517059
2564	inferno	2	0.03927032649517059
3837	senguin	2	0.03927032649517059
2495	horizont	2	0.03927032649517059
2501	hunkydank	2	0.03927032649517059
2409	heer	2	0.03927032649517059
2387	hangars	2	0.03927032649517059
572	Made	2	0.03927032649517059
2386	hangar	2	0.03927032649517059
2374	hamlet	2	0.03927032649517059
3808	scoutie	2	0.03927032649517059
2362	haggard	2	0.03927032649517059
2358	haensel	2	0.03927032649517059
4545	westen	2	0.03927032649517059
2334	guckys	2	0.03927032649517059
2536	idiom	2	0.03927032649517059
2537	idioten	2	0.03927032649517059
2543	iii	2	0.03927032649517059
2548	ilt	2	0.03927032649517059
2333	gucky	2	0.03927032649517059
2319	gringo	2	0.03927032649517059
2662	josc	2	0.03927032649517059
2663	joscan	2	0.03927032649517059
3886	slotem	2	0.03927032649517059
3698	sadu	2	0.03927032649517059
4606	yaal	2	0.03927032649517059
4607	yaals	2	0.03927032649517059
4610	yarden	2	0.03927032649517059
3696	sadiks	2	0.03927032649517059
3695	sadik	2	0.03927032649517059
2082	francisco	2	0.03927032649517059
2081	france	2	0.03927032649517059
3935	spoodie	2	0.03927032649517059
2743	kin	2	0.03927032649517059
4618	yul	2	0.03927032649517059
4619	yuls	2	0.03927032649517059
2744	kinn	2	0.03927032649517059
3936	spoodies	2	0.03927032649517059
2064	ford	2	0.03927032649517059
3940	sprung	2	0.03927032649517059
2026	firmament	2	0.03927032649517059
2728	kerto	2	0.03927032649517059
2727	kersh	2	0.03927032649517059
2725	kerk	2	0.03927032649517059
2724	kergho	2	0.03927032649517059
737	Same	2	0.03927032649517059
2152	gazzara	2	0.03927032649517059
2151	gavök	2	0.03927032649517059
2150	gavro	2	0.03927032649517059
2149	gavivis	2	0.03927032649517059
2148	gavivi	2	0.03927032649517059
2144	garnaru	2	0.03927032649517059
