	words	loglike
0	ab	6.254088159302626e-05
1	abbekommen	0.003752763200157553
2	abbiegen	2.6172107794042985e-07
3	abbild	0.018780430515726212
4	abbot	
5	abbrach	0.0002177664911381062
6	abbrechen	0.0003633738971401375
7	abbringen	0.0013092905091853443
8	abbruch	0.0004652099927542159
9	abdruck	0.0017310606539828475
10	abdrücke	0.014607033529445436
11	abdrücken	0.018600391148237687
12	abend	0.012306117980100693
13	abendbrot	0.009402646252888131
14	abenddämmerung	0.005232460412690527
15	abende	0.01641029073165127
16	abendessen	0.0018781340779042005
17	abendkleid	0.0006573567130800304
18	abendlichen	0.0074555322772616416
19	abends	0.029872583151313498
20	abendsonne	0.003268210545236419
21	abenteuer	0.0018534925956492643
22	abenteuern	8.77013973779768e-06
23	abenteurer	0.0010353712921974388
24	aber	0.006043392457876332
25	abermals	0.0015977894420465006
26	abfahren	7.379456940261346e-05
27	abfahrt	6.794929454971392e-06
28	abfall	0.008977428424489026
29	abfangen	0.0028453218214881844
30	abfiel	0.010437630438971005
31	abfinden	0.0005158021201758555
32	abflug	8.412424364426241e-05
33	abfuhr	0.004434173849874136
34	abfällig	0.0010318076907614975
35	abgab	0.009177460348729237
36	abgaben	0.00991530438852881
37	abgang	0.0004684348951319193
38	abgebaut	0.01608680866173315
39	abgeben	5.330824745244868e-06
40	abgebildet	0.00033408233829792296
41	abgebrochen	0.0073337043841586735
42	abgedeckt	1.866785416546361e-06
43	abgefahren	0.0002807109214114931
44	abgefallen	0.00016715934040944678
45	abgefangen	0.00047894765908909013
46	abgefeuert	0.02575628923781897
47	abgefunden	0.0016054112878053448
48	abgegeben	0.0002222687594965406
49	abgehackt	0.0017500237597385584
50	abgehalten	0.0001874212329928647
51	abgehauen	0.00022798568763924935
52	abgehoben	0.0029216840009422956
53	abgeholt	0.010933403639029234
54	abgehört	0.0017299476030561978
55	abgeklungen	0.001577398872545781
56	abgekommen	0.0011813114841256224
57	abgekühlt	0.016739664183980284
58	abgelaufen	0.0018099447291991932
59	abgelegenen	0.009468263585554148
60	abgelegt	0.0014367831343213445
61	abgelehnt	0.010083180845075687
62	abgelenkt	0.00025024099718357843
63	abgeliefert	0.002011271439412654
64	abgelöst	0.0008132218566777854
65	abgemacht	0.01161019801457984
66	abgeneigt	0.000288360278487095
67	abgenommen	0.004222396279633417
68	abgereist	0.0005957536848305335
69	abgeriegelt	0.03200060748563765
70	abgerissen	0.0035923374160540394
71	abgesagt	0.03633953634617196
72	abgeschaltet	0.0018481169869088657
73	abgeschiedenheit	0.0015163126478765273
74	abgeschirmt	0.005788587701893841
75	abgeschlagen	0.0009563659189474648
76	abgeschlossen	1.2868508495683792e-05
77	abgeschnitten	1.1160713633861282e-07
78	abgeschossen	0.006277186089551464
79	abgeschüttelt	0.002548242713901621
80	abgesehen	0.0010340650308635346
81	abgesetzt	0.004493371783987326
82	abgesichert	0.0010238363400614618
83	abgesperrt	0.011438400027388041
84	abgespielt	0.0007918331534921049
85	abgesprochen	0.0002141606344743521
86	abgestellt	0.0004899464256479221
87	abgestellten	0.03311548580527343
88	abgestiegen	0.00089960218348481
89	abgestimmt	0.005552948326266316
90	abgestoßen	0.00022526719270934926
91	abgestrahlt	
92	abgestürzt	0.0020044027134066174
93	abgesucht	0.004074028758724917
94	abgetan	0.039027652418531726
95	abgetrennt	0.004288238394704947
96	abgetrieben	0.0008463954272461228
97	abgewandt	0.003773848885404064
98	abgewartet	0.0011878631751386318
99	abgewehrt	6.821286411365628e-05
100	abgewiesen	0.00733903502703441
101	abgezogen	0.006917596412256937
102	abgrund	5.100069265637024e-06
103	abgrundtief	0.10095248057068167
104	abhalten	4.00188725041713e-05
105	abhanden	0.0029707833570267773
106	abhang	0.0021707595806642454
107	abhauen	0.005268355675326637
108	abheben	0.004694163624570978
109	abhielt	0.0022649453146538906
110	abhob	0.008492432722983263
111	abholen	0.015437117813500649
112	abholte	0.01475190312377278
113	abhängen	0.005654215307298101
114	abhängig	0.033187960484713355
115	abhängigkeit	0.0014422692629409706
116	abitur	0.034284118187930826
117	abkommen	0.004717596103851748
118	abkürzung	1.2136986463581441e-05
119	ablauf	0.0019563531166494307
120	ablaufen	0.0022059712673628464
121	ableben	0.010990751809769671
122	ablegen	0.001145559905698151
123	ableger	0.003710068932429364
124	ablehnen	0.00038272001633360853
125	ablehnend	0.0023991172533874006
126	ablehnte	0.005301376286790102
127	ablehnung	0.003210815938269017
128	ablenken	0.0012098874794590764
129	ablenkung	0.015646513215026983
130	ablenkungsmanöver	0.025012407125723626
131	ablesen	0.00035619004415663423
132	ablief	0.004998469194414927
133	abliefern	0.0003444691305259373
134	abläuft	0.0006208976898860507
135	ablösen	0.00044749672328181327
136	abmachung	0.001797547172207382
137	abnahm	0.0044020225380414085
138	abnehmen	0.015991317756331974
139	abneigung	0.004706400015110562
140	about	
141	above	
142	abraham	
143	abrechnung	0.002890071960531225
144	abreise	0.004610343239150206
145	abreisen	0.003954670826170414
146	abreißen	0.012057854723232505
147	abrupt	0.0062283547360965814
148	absage	0.0030033449539701128
149	absagen	0.029055204300378376
150	absah	0.00014302447499535062
151	absatz	0.0008778376225394586
152	abschalten	0.017609303768303226
153	abscheu	0.00013200865254285035
154	abschied	0.004739235922799127
155	abschießen	
156	abschirmung	
157	abschlagen	0.005567181308928894
158	abschließen	0.001080703158884434
159	abschließend	0.0037948480134720047
160	abschloss	0.0003215934770676226
161	abschluss	0.0005863875215127061
162	abschneiden	0.005864778067692027
163	abschnitt	0.0006379432402876563
164	abschrecken	0.007882177357710421
165	abschätzen	0.00014166115677613413
166	abschätzend	0.0003573971926790348
167	abschütteln	0.018788131484804182
168	absehbarer	0.0035457575695482316
169	abseits	0.005437504176987296
170	absender	0.0012221550603511468
171	absetzen	0.0027443153089629375
172	absetzte	0.004094926837930092
173	absicht	0.000304264811507568
174	absichten	0.0033719930771710423
175	absichtlich	0.0004250810616587041
